[08 Feb 22:11:29] Disconnected abnormally, Neema(268488058) 
[08 Feb 22:11:35] Disconnected abnormally, GravieR(268487827) 
[08 Feb 22:16:51] Logged in, ReEdiT(268489123) 
[08 Feb 22:35:31] Logged in, Neema(268488058) 
[08 Feb 22:35:36] Logged in, GravieR(268487827) 
[08 Feb 23:02:48] Disconnected, GravieR(268487827) 
[08 Feb 23:02:54] Disconnected, Neema(268488058) 
[08 Feb 23:23:54] Logged out, ReEdiT(268489123) 
[08 Feb 23:23:59] Logged in, ReEdiT(268489123) 
[08 Feb 23:28:41] Disconnected, ReEdiT(268489123) 
[09 Feb 15:20:30] Logged in, GravieR(268487827) 
[09 Feb 15:21:19] Logged in, Neema(268488058) 
[09 Feb 15:22:36] Logged in, lechu(268490492) 
[09 Feb 16:40:57] Logged in, Nerfyo(268486660) 
[09 Feb 17:05:50] Logged out, Nerfyo(268486660) 
[09 Feb 17:05:54] Logged in, Nerfyo(268486660) 
[09 Feb 17:09:41] Disconnected abnormally, Neema(268488058) 
[09 Feb 17:09:44] Disconnected abnormally, GravieR(268487827) 
[09 Feb 17:09:46] Disconnected abnormally, lechu(268490492) 
[09 Feb 17:15:50] Logged in, GravieR(268487827) 
[09 Feb 17:28:34] Logged out, GravieR(268487827) 
[09 Feb 17:28:40] Disconnected, Nerfyo(268486660) 
[09 Feb 18:32:37] Kicked by login, gravier666 
[09 Feb 18:32:46] Logged in, GravieR(268487827) 
[09 Feb 20:30:03] Logged in, lechu(268490492) 
[09 Feb 20:30:47] Logged in, Nerfyo(268486660) 
[09 Feb 20:50:37] Logged out, GravieR(268487827) 
[09 Feb 20:51:02] Logged in, GravieR(268487827) 
[09 Feb 21:14:51] Logged out, Nerfyo(268486660) 
[09 Feb 21:14:56] Logged in, Nerfyo(268486660) 
[09 Feb 21:24:14] Logged out, Nerfyo(268486660) 
[09 Feb 21:24:17] Logged in, Nerfyo(268486660) 
[09 Feb 21:31:19] Disconnected, Nerfyo(268486660) 
[09 Feb 21:31:22] Disconnected, GravieR(268487827) 
[09 Feb 22:16:23] Disconnected, lechu(268490492) 
[11 Feb 12:23:51] Created new character, ReEdiT(268487088), karolusw89 
[11 Feb 12:23:59] Logged in, ReEdiT(268487088) 
[12 Feb 0:26:05] Disconnected abnormally, karolusw89 
[12 Feb 0:43:11] Disconnected abnormally, karolusw89 
[12 Feb 0:45:47] Disconnected abnormally, karolusw89 
[12 Feb 0:58:54] Logged in, ReEdiT(268487088) 
[12 Feb 1:02:36] Disconnected, ReEdiT(268487088) 
[12 Feb 1:11:20] Logged in, ReEdiT(268487088) 
[12 Feb 1:18:26] Disconnected, ReEdiT(268487088) 
